#
#""	"S1,1 [Mag]"	"S1,1 [Pha in deg.]"	"Ref.Imp. [Mag]"	"Ref.Imp. [Pha in deg.]"
#------------------------------------------------------------------------------
1.1080000400543	0.038844512835298	178.07402799573	556.84328629200	90.000000000000
1.1109999418259	0.038178705483338	171.53080228821	561.68698709619	90.000000000000
1.1139999628067	0.037546320407163	164.83194539199	566.61887747689	90.000000000000
1.1169999837875	0.036959934326423	157.97137658278	571.64171304975	90.000000000000
1.1200000047684	0.036433166969322	150.94606223158	576.75858034587	90.000000000000
1.1230000257492	0.035980520276612	143.75691517709	581.97271544057	90.000000000000
1.1260000467300	0.035617130289256	136.40978402295	587.28751224981	90.000000000000
1.1289999485016	0.035358353708178	128.91633318554	592.70631636457	90.000000000000
1.1319999694824	0.035219376919163	121.29465608360	598.23330145317	90.000000000000
1.1349999904633	0.035214596693803	113.56929357716	603.87218981085	90.000000000000
1.1380000114441	0.035357060578092	105.77086972584	609.62712169671	90.000000000000
1.1410000324249	0.035657878875229	97.934855382479	615.50245551376	90.000000000000
1.1440000534058	0.036125759472403	90.099821394196	621.50278307644	90.000000000000
1.1469999551773	0.036766616709690	82.305264389214	627.63269979905	90.000000000000
1.1499999761581	0.037583435354294	74.589226048460	633.89780344028	90.000000000000
1.1529999971390	0.038576328757908	66.986268948032	640.30325105875	90.000000000000
1.1560000181198	0.039742745846080	59.525745788327	646.85475001074	90.000000000000
1.1590000391006	0.041077852094229	52.230858433663	653.55833781227	90.000000000000
1.1619999408722	0.042574983968329	45.118297695740	660.42013361270	90.000000000000
1.1649999618530	0.044226103955445	38.198529672852	667.44746147349	90.000000000000
1.1679999828339	0.046022249253039	31.476403813794	674.64724804733	90.000000000000
1.1710000038147	0.047953940268302	24.952113096388	682.02713711303	90.000000000000
1.1740000247955	0.050011466158416	18.622124620954	689.59525824688	90.000000000000
1.1770000457764	0.052185139809141	12.480183350466	697.36026464506	90.000000000000
1.1799999475479	0.054465489856932	6.5181189959252	705.33105915592	90.000000000000
1.1829999685287	0.056843325129648	0.72658387216179	713.51811838067	90.000000000000
1.1859999895096	0.059309853117154	-4.9043971098028	721.93164866923	90.000000000000
1.1890000104904	0.061856681713130	-10.384995788634	730.58290381145	90.000000000000
1.1920000314713	0.064475835403884	-15.725266444660	739.48393924258	90.000000000000
1.1950000524521	0.067159746826257	-20.934928522442	748.64768709386	90.000000000000
1.1979999542236	0.069901208609521	-26.023255694161	758.08765979408	90.000000000000
1.2009999752045	0.072693407955688	-30.998967727369	767.81955829584	90.000000000000
1.2039999961853	0.075529858490186	-35.870117695612	777.85912567459	90.000000000000
1.2070000171661	0.078404342953499	-40.644283788460	788.22375639852	90.000000000000
1.2100000381470	0.081310940681712	-45.328370179880	798.93225630442	90.000000000000
1.2130000591278	0.084243970671977	-49.928694872975	810.00499848544	90.000000000000
1.2159999608994	0.087197969757317	-54.451125115677	821.46362867409	90.000000000000
1.2189999818802	0.090167695414535	-58.900965710300	833.33310584826	90.000000000000
1.2220000028610	0.093148036233602	-63.283049861042	845.63918713802	90.000000000000
1.2250000238419	0.096134099852505	-67.601777729896	858.41049344169	90.000000000000
1.2280000448227	0.099121113227645	-71.861166231526	871.67834864607	90.000000000000
1.2309999465942	0.10210445212473	-76.064929751909	885.47656594085	90.000000000000
1.2339999675751	0.10507959000811	-80.216399079966	899.84405327725	90.000000000000
1.2369999885559	0.10804217531383	-84.318558377607	914.82198608968	90.000000000000
1.2400000095367	0.11098791234093	-88.374242387987	930.45650665950	90.000000000000
1.2430000305176	0.11391264564106	-92.385940364150	946.79881022366	90.000000000000
1.2460000514984	0.11681229784396	-96.355947211525	963.90587878364	90.000000000000
1.2489999532700	0.11968290956918	-100.28639450330	981.84062407433	90.000000000000
1.2519999742508	0.12252062563675	-104.17921822190	1000.6758156572	90.000000000000
1.2549999952316	0.12532163889901	-108.03610286179	1020.4910454564	90.000000000000
1.2580000162125	0.12808229057511	-111.85870038279	1041.3770432480	90.000000000000
1.2610000371933	0.13079895518837	-115.64844752026	1063.4367814518	90.000000000000
1.2640000581741	0.13346818642228	-119.40671098104	1086.7877019654	90.000000000000
1.2669999599457	0.13608652457428	-123.13465618214	1111.5634164728	90.000000000000
1.2699999809265	0.13865071216229	-126.83341740369	1137.9211121606	90.000000000000
1.2730000019073	0.14115749220306	-130.50401917285	1166.0398575407	90.000000000000
1.2760000228882	0.14360378008410	-134.14738004771	1196.1298474947	90.000000000000
1.2790000438690	0.14598655445797	-137.76431948137	1228.4382433596	90.000000000000
1.2819999456406	0.14830289297723	-141.35560342730	1263.2565859499	90.000000000000
1.2849999666214	0.15055000781350	-144.92197042625	1300.9379622429	90.000000000000
1.2879999876022	0.15272517125971	-148.46396851298	1341.9040529974	90.000000000000
1.2910000085831	0.15482579832537	-151.98222806748	1386.6711564926	90.000000000000
1.2940000295639	0.15684940869501	-155.47721966831	1435.8771158426	90.000000000000
1.2970000505447	0.15879368848028	-158.94940408956	1490.3207791617	90.000000000000
1.2999999523163	0.16065628206400	-162.39918076277	1551.0158455772	90.000000000000
1.3029999732971	0.16243514594988	-165.82689761262	1619.2834040077	90.000000000000
1.3059999942780	0.16412823939231	-169.23288133364	1696.8619888877	90.000000000000
1.3090000152588	0.16573369113930	-172.61734933242	1786.1111108898	90.000000000000
1.3120000362396	0.16724972470206	-175.98057550193	1890.3238317625	90.000000000000
1.3150000572205	0.16867471973946	-179.32272347187	2014.2630860143	90.000000000000
1.3179999589920	0.17000719416580	177.35609729343	2165.1230174620	90.000000000000
1.3209999799728	0.17124580040491	174.05572225324	2354.4375281161	90.000000000000
1.3240000009537	0.17238928254304	170.77613799958	2602.0770403355	90.000000000000
1.3270000219345	0.17343657852223	167.51727747168	2946.1269392055	90.000000000000
1.3300000429153	0.17438675983879	164.27914031302	3472.0920341479	90.000000000000
1.3329999446869	0.17523900408941	161.06176634277	4432.0913094685	90.000000000000
1.3359999656677	0.17599268379550	157.86523616667	7239.6710488254	90.000000000000
1.3389999866486	0.17664731585549	154.68963543022	8931.6479829942	0.00020668961810013
1.3420000076294	0.17720251207618	151.53508364956	4770.6810833538	0.0000000000000
1.3450000286102	0.17765814474828	148.40176925831	3648.3046085175	0.0000000000000
1.3480000495911	0.17801408772875	145.28988779789	3069.8017215793	0.0000000000000
1.3509999513626	0.17827055982609	142.19965656384	2702.7708786551	0.0000000000000
1.3539999723434	0.17842775448274	139.13134118755	2443.6259692976	0.0000000000000
1.3569999933243	0.17848615648297	136.08524942513	2248.2452492115	0.0000000000000
1.3600000143051	0.17844636914641	133.06170823982	2094.2220164870	0.0000000000000
1.3630000352859	0.17830912570787	130.06107280160	1968.8154158504	0.0000000000000
1.3660000562668	0.17807539631895	127.08376610704	1864.1762694091	0.0000000000000
