#
#"Frequency / GHz"	"VSWR1 [Magnitude]"
#-------------------------------------
1.9390000104904	1.1057363186390
1.9420000314713	1.1030015626039
1.9450000524521	1.1002420336580
1.9479999542236	1.0974592357186
1.9509999752045	1.0946547807019
1.9539999961853	1.0918305064054
1.9570000171661	1.0889883714587
1.9600000381470	1.0861305417170
1.9630000591278	1.0832593073663
1.9659999608994	1.0803772205523
1.9689999818802	1.0774869114302
1.9720000028610	1.0745912859689
1.9750000238419	1.0716934241441
1.9780000448227	1.0687966253707
1.9809999465942	1.0659044880771
1.9839999675751	1.0630208438497
1.9869999885559	1.0601499182795
1.9900000095367	1.0572963182365
1.9930000305176	1.0544651221564
1.9960000514984	1.0516619969980
1.9989999532700	1.0488933404175
2.0020000934601	1.0461664230427
2.0050001144409	1.0434896466570
2.0079998970032	1.0408727986364
2.0109999179840	1.0383274202601
2.0139999389648	1.0358672715207
2.0169999599457	1.0335088299512
2.0199999809265	1.0312719665137
2.0230000019073	1.0291805210558
2.0260000228882	1.0272628518133
2.0290000438690	1.0255519628586
2.0320000648499	1.0240848169661
2.0350000858307	1.0229002376280
2.0380001068115	1.0220350339869
2.0409998893738	1.0215184595913
2.0439999103546	1.0213662509346
2.0469999313354	1.0215765798786
2.0499999523163	1.0221297590737
2.0529999732971	1.0229920251001
2.0559999942780	1.0241215684021
2.0590000152588	1.0254745454655
2.0620000362396	1.0270094446072
2.0650000572205	1.0286894585154
2.0680000782013	1.0304833507201
2.0710000991821	1.0323652659819
2.0739998817444	1.0343141536194
2.0769999027252	1.0363130234725
2.0799999237061	1.0383482055889
2.0829999446869	1.0404087005116
2.0859999656677	1.0424856941781
2.0889999866486	1.0445721096638
2.0920000076294	1.0466622535723
2.0950000286102	1.0487515995172
2.0980000495911	1.0508365424048
2.1010000705719	1.0529142535998
2.1040000915527	1.0549825511048
2.1070001125336	1.0570397869765
2.1099998950958	1.0590847889152
2.1129999160767	1.0611167729132
2.1159999370575	1.0631352949126
2.1189999580383	1.0651402243417
2.1219999790192	1.0671316560639
2.1250000000000	1.0691099597490
2.1280000209808	1.0710756505318
2.1310000419617	1.0730294709682
2.1340000629425	1.0749722417230
2.1370000839233	1.0769050129983
2.1400001049042	1.0788288503561
2.1429998874664	1.0807449634580
2.1459999084473	1.0826546298689
2.1489999294281	1.0845591908055
2.1519999504089	1.0864600179160
2.1549999713898	1.0883585265999
2.1579999923706	1.0902561470333
2.1610000133514	1.0921543165905
2.1640000343323	1.0940544479633
2.1670000553131	1.0959579342729
2.1700000762939	1.0978661730742
2.1730000972748	1.0997804554516
2.1760001182556	1.1017020821119
2.1789999008179	1.1036322477165
2.1819999217987	1.1055720772372
2.1849999427795	1.1075226229170
2.1879999637604	1.1094848735088
2.1909999847412	1.1114597129186
2.1940000057220	1.1134478802881
2.1970000267029	1.1154500689257
2.2000000476837	1.1174668330375
2.2030000686646	1.1194986698257
2.2060000896454	1.1215458909526
2.2090001106262	1.1236087615025
2.2119998931885	1.1256873759533
2.2149999141693	1.1277817841415
2.2179999351501	1.1298918771400
2.2209999561310	1.1320174436903
2.2239999771118	1.1341582303860
2.2269999980927	1.1363137922940
2.2300000190735	1.1384836662428
2.2330000400543	1.1406672718968
2.2360000610352	1.1428639086878
2.2390000820160	1.1450728059141
2.2420001029968	1.1472932252823
2.2449998855591	1.1495242163793
2.2479999065399	1.1517648460687
2.2509999275208	1.1540141268756
2.2539999485016	1.1562709721591
2.2569999694824	1.1585343066190
2.2599999904633	1.1608030307655
2.2630000114441	1.1630759500045
2.2660000324249	1.1653519303797
2.2690000534058	1.1676297542194
2.2720000743866	1.1699082658672
2.2750000953674	1.1721862544371
2.2780001163483	1.1744625730690
2.2809998989105	1.1767359762209
2.2839999198914	1.1790053690131
2.2869999408722	1.1812696142126
2.2899999618530	1.1835276378310
2.2929999828339	1.1857783079582
2.2960000038147	1.1880206864949
2.2990000247955	1.1902537000609
2.3020000457764	1.1924764858543
2.3050000667572	1.1946880921278
2.3080000877380	1.1968877432395
2.3110001087189	1.1990746531006
2.3139998912811	1.2012480723074
2.3169999122620	1.2034073637003
2.3199999332428	1.2055519129561
2.3229999542236	1.2076812151085
2.3259999752045	1.2097947493369
2.3289999961853	1.2118921603595
2.3320000171661	1.2139730679646
2.3350000381470	1.2160371805940
2.3380000591278	1.2180843343444
2.3410000801086	1.2201142725474
2.3440001010895	1.2221269530157
2.3469998836517	1.2241222806821
2.3499999046326	1.2261003008283
2.3529999256134	1.2280610042075
2.3559999465942	1.2300045400361
2.3589999675751	1.2319310107222
2.3619999885559	1.2338405496121
2.3650000095367	1.2357334782689
2.3680000305176	1.2376098951642
2.3710000514984	1.2394701221279
2.3740000724792	1.2413144628519
2.3770000934601	1.2431431614920
2.3800001144409	1.2449565439801
2.3829998970032	1.2467548596166
2.3859999179840	1.2485384876636
2.3889999389648	1.2503076327306
2.3919999599457	1.2520626036055
2.3949999809265	1.2538037154332
2.3980000019073	1.2555311207744
2.4010000228882	1.2572450616868
2.4040000438690	1.2589457049496
2.4070000648499	1.2606331912327
2.4100000858307	1.2623076206802
2.4130001068115	1.2639689905004
2.4159998893738	1.2656173142444
2.4189999103546	1.2672525196082
2.4219999313354	1.2688744992645
2.4249999523163	1.2704830282738
2.4279999732971	1.2720778651100
2.4309999942780	1.2736586701236
2.4340000152588	1.2752250874207
2.4370000362396	1.2767766426515
2.4400000572205	1.2783127909522
2.4430000782013	1.2798329381060
2.4460000991821	1.2813364204769
2.4489998817444	1.2828224408107
2.4519999027252	1.2842902522456
2.4549999237061	1.2857388923187
2.4579999446869	1.2871674230758
2.4609999656677	1.2885748183340
2.4639999866486	1.2899600445569
2.4670000076294	1.2913219005767
2.4700000286102	1.2926592193056
2.4730000495911	1.2939706913042
2.4760000705719	1.2952550410582
2.4790000915527	1.2965109553275
2.4820001125336	1.2977369720781
2.4849998950958	1.2989318055747
2.4879999160767	1.3000938270927
2.4909999370575	1.3012216561339
2.4939999580383	1.3023137816121
2.4969999790192	1.3033687656692
